date,open,close,high,low,volume
2016-01-03,185.0425987014536,186.5202760864199,186.7067963625063,184.85755610275217,0
2016-01-04,186.39938929156415,186.81567290083498,187.0024885737358,186.2129899022726,0
2016-01-05,187.41698266698788,189.64509950773376,189.83474460724148,187.2295656843209,0
2016-01-06,191.07668248144392,193.36458719327646,193.55795178046972,190.88560579896247,0
2016-01-07,193.14102941621485,192.64576092681432,193.33417044563103,192.4531151658875,0
2016-01-08,192.41733997557205,195.46336403724013,195.65882740127734,192.22492263559647,0
2016-01-10,196.38901829227538,196.2116677174375,196.58540731056763,196.01545604972006,0
2016-01-11,196.95393099870162,196.92288040261167,197.1508849297003,196.72595752220906,0
2016-01-12,196.4677806126785,194.87579501405992,196.66424839329116,194.68091921904585,0
2016-01-13,195.39702342255922,198.3607460978624,198.55910684396025,195.20162639913664,0
2016-01-14,197.91119795342422,197.3898917393116,198.10910915137762,197.1925018475723,0
2016-01-15,196.93929076743234,199.56472668233192,199.76429140901422,196.7423514766649,0
2016-01-17,200.36891318285186,198.36400543850147,200.5692820960347,198.16564143306297,0
2016-01-18,196.50454389357284,197.43946293697746,197.63690239991442,196.30803934967926,0
2016-01-19,195.7524874828777,195.91211324079254,196.10802535403332,195.55673499539483,0
2016-01-20,195.3674354181764,194.2641760307696,195.56280285359455,194.06991185473882,0
2016-01-21,193.27558705718988,190.5877160490984,193.46886264424705,190.3971283330493,0
2016-01-22,190.88931564852695,190.9956713059785,191.18666697728446,190.69842633287843,0
2016-01-24,190.02055060110098,189.53073019210032,190.21057115170206,189.34119946190822,0
2016-01-25,188.17606324974187,190.1857736379523,190.37595941159023,187.98788718649212,0
2016-01-26,191.60654969138224,189.59529766719055,191.7981562410736,189.40570236952337,0
2016-01-27,189.37105703463033,188.744730435024,189.56042809166493,188.55598570458898,0
2016-01-28,188.81184283420126,187.3385993456568,189.00065467703544,187.15126074631115,0
2016-01-29,185.98714013678378,186.50987845136396,186.6963883298153,185.801152996647,0
2016-01-31,185.99043150906192,186.22188065738476,186.40810253804213,185.80444107755287,0
2016-02-01,186.32995158372893,186.232509699279,186.51628153531263,186.04627718957974,0
2016-02-02,185.1390044434077,186.74643004120128,186.93317647124246,184.9538654389643,0
2016-02-03,187.1064621739643,183.04846127183993,187.29356863613825,182.86541281056807,0
2016-02-04,182.4828064785494,181.97772875052874,182.66528928502794,181.79575102177822,0
2016-02-05,181.70502129628926,184.9487891779181,185.13373796709598,181.52331627499296,0
2016-02-07,184.2588212389653,183.72595825486403,184.44308006020427,183.54223229660917,0
2016-02-08,185.47452046516565,186.97528129258106,187.1622565738736,185.2890459447005,0
2016-02-09,186.95972095512454,186.4718108672491,187.14668067607965,186.28533905638184,0
2016-02-10,185.4634230025828,184.43798276707528,185.64888642558537,184.25354478430822,0
2016-02-11,185.21783502098143,184.8970595643196,185.40305285600238,184.71216250475527,0
2016-02-12,183.74417332142062,183.6614196544403,183.92791749474202,183.47775823478585,0
2016-02-14,183.92631738052606,182.60739761905035,184.11024369790655,182.4247902214313,0
2016-02-15,180.76356130124373,180.79894269903218,180.97974164173118,180.5827977399425,0
